शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
ब्रैन्	आङ्ग्लभाषा	मस्तिष्क	brain	ब्रेन, ब्रैन, 		
ब्रोन्ज 	आङ्ग्लभाषा	कांस्य	bronge	ब्रॉन्ज 		
ब्लड्	आङ्ग्लभाषा	रक्त, लहू	blood	ब्लड		
ब्लू	आङ्ग्लभाषा	नीला	blue	ब्लु		
ब्लैक्	आङ्ग्लभाषा	कृष्ण	black	ब्लैक, ब्लैक्स		
ब्लैक्मेल	आङ्ग्लभाषा	भयादोहन	blackmail 	ब्लैकमेल, ब्लैकमेलिंग, 		
बक्सा	आङ्ग्लभाषा	पेटिका, सम्पुट, डिब्बा, 	box			
बक़ाया	अरबी	शेष				
बख्त	फारसी	भाग्य, सौभाग्य, प्रारब्ध				
बख़्शना	फारसी	क्षमा करना, छोड़ देना		बक्शा, बख्शा , बख्शेंगे, बख्शेंगा, बख्शेंगी, बख्श, बख्शते, बख्शता, बख्शती,		
बख़्शीश	फारसी	उपहार, दान, पारितोषिक, पुरस्कार		बखशीश, बखशिश		
बखूबी	फारसी	भलीभाँति		बखुबी		
बग़ावत	अरबी	विद्रोह				
बग़ैर	अरबी+फारसी	विना, ऋते, अन्तरेण				
बच्चा	फारसी	बालक, शिशु, पुत्र, सन्तान				
बज्म	फारसी	सभा, सम्मेलन				
बजाय	फारसी	के स्थान में		बजाए		
बतौर	अरबी+फारसी	सदृश, समान, के रूप से		बतौरन		
बदइंतजामी	फारसी	कुप्रबन्ध, अराजकता, अव्यवस्था				
बदकिस्मत	फारसी+अरबी	अभागा, भाग्यहीन				
बदकिस्मती	फारसी+अरबी	दुर्भाग्य				
बदजबान	फारसी	कटूभाषी, मुँहफट		बदजुबान		
बदतमीज	अरबी	असभ्य, धृष्ट, उद्धत, अभद्र		बतमीज, बद्तमीज		
बदतमीजी	अरबी	धृष्टता, अशिष्टता, अभद्रता				
बदतर	फारसी	दुष्टतर, कष्टतर, खलतर				
बदन	फारसी	शरीर, काया	بدن			
बदनसीब	फारसी+अरबी	अभागा, भाग्यहीन, दुर्भाग्य				
बदनसीबी	फारसी+अरबी	दुर्भाग्य				
बदनाम	फारसी+हिन्दी 	कुख्यात, कलङ्कित				
बदनामी	फारसी+हिन्दी 	अपयश, कलङ्क, निन्दा, अपमान				
बदनीयत	फारसी+अरबी	दुष्ट, दुष्टाभिप्राय, 		बदनीयतों		
बददुआ  	फारसी+अरबी	दुष्कामना, शाप, 		बद्दुआ, बददुआ, बद्दूआ		
बदसलूकी	अरबी+फारसी	दुर्व्यवहार				
बदहाली	अरबी+फारसी	दुर्दशा				
बदबू	फारसी	दुर्गंध				
बदमाश	अरबी+फारसी	दुष्ट, गुण्डा, दुराचारी		बदमाशों		
बदमाशी	अरबी+फारसी	दुष्टता, दुष्कर्म, कुकर्म, व्याभिचार		बदमाशियों, बदमाशियां		
बदला	अरबी	वैर, प्रतिकार, वैरशुद्धि, परिवर्तित किया				
बदौलत	अरबी+फारसी	कृपा से				
बंदगी	फारसी	सेवा, उपासना, प्रणाम, आराधना,				
बन्दरगाह 	फारसी	नौकाशय, पोताश्रय, 		बंदरगाह		
बंदा	फारसी	भक्त, सेवक		बंदे, बन्दे, बन्दा		
बंदिश	फारसी	बन्धन, यंत्रण		बंदिशे, बंदिशें		
बंदूक	अरबी	???				
बंदोबस्त	फारसी	प्रबंध, व्यवस्था				
बनाम	फारसी	विरुद्ध, की तुलना में				
बम्पर्	आङ्ग्लभाषा	भरपूर	bumper	बम्पर, बंपर		
बयां	अरबी	व्यक्त		बयाँ		
बयान	अरबी	वक्तव्य		बयानों		
बयाना	अरबी+फारसी	अगाऊ				
बयानबाजी	अरबी+फारसी	???				
बर्दाश्त	फारसी	सहन, स्वीकार्य		बरदाश्त, बर्दास्त, बरदास्त		
बर्फ	फारसी	हिम				
बर्बाद	फारसी	नष्ट, ध्वंस, व्यय		बरबाद		
